device,time_in_ms,time_in_ns,method,graph,nnodes,nedges,problem
GeForce GTX,3387,3387351285,SYCL Data-Driven,road-USA,23947347,57708624,BFS
GeForce GTX,5415,1120201250,SYCL Data-Driven,road-USA,23947347,57708624,BFS
GeForce GTX,2912,2912947194,SYCL Data-Driven,road-USA,23947347,57708624,BFS
GeForce GTX,402321,2889411434,SYCL Topology-Driven,road-USA,23947347,57708624,BFS
GeForce GTX,402964,3532620846,SYCL Topology-Driven,road-USA,23947347,57708624,BFS
GeForce GTX,402126,2694654810,SYCL Topology-Driven,road-USA,23947347,57708624,BFS
GeForce GTX,197,197750498,Lonestar,road-USA,23947347,57708624,BFS
GeForce GTX,159,159166520,Lonestar,road-USA,23947347,57708624,BFS
GeForce GTX,148,148824741,Lonestar,road-USA,23947347,57708624,BFS
Tesla K80,149105,3076505267,SYCL Data-Driven,road-USA,23947347,57708624,BFS
Tesla K80,160743,1829213228,SYCL Data-Driven,road-USA,23947347,57708624,BFS
Tesla K80,119271,3307467967,SYCL Data-Driven,road-USA,23947347,57708624,BFS
Tesla K80,1077007,3266173938,SYCL Topology-Driven,road-USA,23947347,57708624,BFS
Tesla K80,1075366,1625009742,SYCL Topology-Driven,road-USA,23947347,57708624,BFS
Tesla K80,1080265,2228711954,SYCL Topology-Driven,road-USA,23947347,57708624,BFS
Tesla K80,149,149347267,Lonestar,road-USA,23947347,57708624,BFS
Tesla K80,149,149127599,Lonestar,road-USA,23947347,57708624,BFS
Tesla K80,201,201190850,Lonestar,road-USA,23947347,57708624,BFS
Tesla K80,460324,762518579,SYCL Data-Driven,livejournal,4847571,68993773,PR
Tesla K80,534947,2371951793,SYCL Data-Driven,livejournal,4847571,68993773,PR
Tesla K80,592915,209961789,SYCL Data-Driven,livejournal,4847571,68993773,PR
Tesla K80,110289,2915547858,SYCL Topology-Driven,livejournal,4847571,68993773,PR
Tesla K80,110195,2820904539,SYCL Topology-Driven,livejournal,4847571,68993773,PR
Tesla K80,110256,2881895492,SYCL Topology-Driven,livejournal,4847571,68993773,PR
Tesla K80,3189,3189065765,Lonestar,livejournal,4847571,68993773,PR
Tesla K80,3188,3188603146,Lonestar,livejournal,4847571,68993773,PR
Tesla K80,3199,3199908791,Lonestar,livejournal,4847571,68993773,PR
Tesla K80,10841,2251230774,SYCL Data-Driven,rmat15,32768,524288,PR
Tesla K80,10485,1895121940,SYCL Data-Driven,rmat15,32768,524288,PR
Tesla K80,11688,3098908446,SYCL Data-Driven,rmat15,32768,524288,PR
Tesla K80,8345,4050438499,SYCL Topology-Driven,rmat15,32768,524288,PR
Tesla K80,7205,2910098979,SYCL Topology-Driven,rmat15,32768,524288,PR
Tesla K80,7269,2974133844,SYCL Topology-Driven,rmat15,32768,524288,PR
Tesla K80,88,88230883,Lonestar,rmat15,32768,524288,PR
Tesla K80,82,82591749,Lonestar,rmat15,32768,524288,PR
Tesla K80,81,81157064,Lonestar,rmat15,32768,524288,PR
GeForce GTX,786,786749679,SYCL Data-Driven,rmat15,32768,524288,PR
GeForce GTX,472,472381646,SYCL Data-Driven,rmat15,32768,524288,PR
GeForce GTX,481,481639162,SYCL Data-Driven,rmat15,32768,524288,PR
GeForce GTX,7797,3502952792,SYCL Topology-Driven,rmat15,32768,524288,PR
GeForce GTX,7058,2763465191,SYCL Topology-Driven,rmat15,32768,524288,PR
GeForce GTX,7323,3028883611,SYCL Topology-Driven,rmat15,32768,524288,PR
GeForce GTX,165,165097332,Lonestar,rmat15,32768,524288,PR
GeForce GTX,134,134847235,Lonestar,rmat15,32768,524288,PR
GeForce GTX,136,136816675,Lonestar,rmat15,32768,524288,PR
Tesla K80,10985,2395163891,SYCL Data-Driven,rmat20,1048576,16777216,PR
Tesla K80,16490,3605901491,SYCL Data-Driven,rmat20,1048576,16777216,PR
Tesla K80,12688,4098548911,SYCL Data-Driven,rmat20,1048576,16777216,PR
Tesla K80,23186,1711823746,SYCL Topology-Driven,rmat20,1048576,16777216,PR
Tesla K80,23231,1756490703,SYCL Topology-Driven,rmat20,1048576,16777216,PR
Tesla K80,23189,1714586946,SYCL Topology-Driven,rmat20,1048576,16777216,PR
Tesla K80,957,957635222,Lonestar,rmat20,1048576,16777216,PR
Tesla K80,909,909925376,Lonestar,rmat20,1048576,16777216,PR
Tesla K80,907,907625969,Lonestar,rmat20,1048576,16777216,PR
GeForce GTX,1915,1915671395,SYCL Data-Driven,rmat20,1048576,16777216,PR
GeForce GTX,1070,1070608382,SYCL Data-Driven,rmat20,1048576,16777216,PR
GeForce GTX,1417,1417740256,SYCL Data-Driven,rmat20,1048576,16777216,PR
GeForce GTX,8176,3881962230,SYCL Topology-Driven,rmat20,1048576,16777216,PR
GeForce GTX,7856,3561809168,SYCL Topology-Driven,rmat20,1048576,16777216,PR
GeForce GTX,7870,3575936368,SYCL Topology-Driven,rmat20,1048576,16777216,PR
GeForce GTX,2064,2064013282,Lonestar,rmat20,1048576,16777216,PR
GeForce GTX,2004,2004070847,Lonestar,rmat20,1048576,16777216,PR
GeForce GTX,2004,2004361027,Lonestar,rmat20,1048576,16777216,PR
Tesla K80,1057981,1419611186,SYCL Data-Driven,rmat22,4194304,67108864,PR
Tesla K80,1428324,2395425706,SYCL Data-Driven,rmat22,4194304,67108864,PR
Tesla K80,1950922,1007314691,SYCL Data-Driven,rmat22,4194304,67108864,PR
